@relation 'training_keyboard-weka.filters.unsupervised.attribute.Remove-R12,25-28,30-weka.filters.unsupervised.attribute.Remove-R28-29'

@attribute pacman_positionX numeric
@attribute pacman_positionY numeric
@attribute width_map numeric
@attribute height_map numeric
@attribute legal_North {0,1}
@attribute legal_South {0,1}
@attribute legal_East {0,1}
@attribute legal_West {0,1}
@attribute legal_Stop {0,1}
@attribute pacman_direction {North,South,East,West,Stop}
@attribute n_ghosts numeric
@attribute ghost1_positionX numeric
@attribute ghost1_positionY numeric
@attribute ghost2_positionX numeric
@attribute ghost2_positionY numeric
@attribute ghost3_positionX numeric
@attribute ghost3_positionY numeric
@attribute ghost4_positionX numeric
@attribute ghost4_positionY numeric
@attribute ghost1_direction {North,South,East,West,Stop,None}
@attribute ghost2_direction {North,South,East,West,Stop,None}
@attribute ghost3_direction {North,South,East,West,Stop,None}
@attribute ghost4_direction {North,South,East,West,Stop,None}
@attribute n_food numeric
@attribute next_step {North,South,East,West}
@attribute score numeric
@attribute score1 numeric

@data
8,6,30,20,1,1,1,1,1,East,4,1,1,10,4,23,4,23,3,Stop,West,East,East,0,South,175,174
8,5,30,20,1,1,1,0,1,South,4,1,1,11,4,22,4,24,3,Stop,East,West,East,0,South,174,173
8,4,30,20,1,1,1,0,1,South,4,1,1,11,5,22,3,25,3,Stop,North,South,West,0,East,173,172
9,4,30,20,1,1,1,1,1,East,4,1,1,11,6,22,4,24,3,Stop,North,North,North,0,North,172,171
9,5,30,20,1,1,1,1,1,North,4,1,1,11,5,22,3,24,4,Stop,South,South,North,0,East,171,170
10,5,30,20,1,1,1,1,1,East,4,1,1,11,5,22,3,24,5,Stop,South,South,North,0,East,170,369
11,5,30,20,1,1,0,1,1,East,4,1,1,3,1,22,4,24,6,Stop,Stop,North,East,0,North,369,368
11,6,30,20,1,1,0,1,1,North,4,1,1,3,1,22,3,25,6,Stop,Stop,South,East,0,North,368,367
11,7,30,20,1,1,0,1,1,North,4,1,1,3,1,22,3,26,6,Stop,Stop,South,East,0,North,367,366
11,8,30,20,1,1,0,1,1,North,4,1,1,3,1,22,3,26,6,Stop,Stop,South,South,0,North,366,365
11,9,30,20,1,1,0,1,1,North,4,1,1,3,1,22,3,26,5,Stop,Stop,South,East,0,North,365,364
11,10,30,20,1,1,0,1,1,North,4,1,1,3,1,22,3,27,5,Stop,Stop,South,East,0,North,364,363
11,11,30,20,1,1,0,1,1,North,4,1,1,3,1,21,3,27,5,Stop,Stop,West,North,0,North,363,362
11,12,30,20,0,1,1,1,1,North,4,1,1,3,1,21,4,27,6,Stop,Stop,North,North,0,East,362,361
12,12,30,20,0,0,1,1,1,East,4,1,1,3,1,21,4,27,7,Stop,Stop,North,East,0,East,361,360
13,12,30,20,0,1,1,1,1,East,4,1,1,3,1,21,3,28,7,Stop,Stop,South,South,0,South,360,359
